id_student,gender,highest_education,age_band,num_of_prev_attempts,studied_credits,final_result,avg_score,total_click,needs_remedial
118983,M,HE Qualification,0-35,0,120,Pass,61.8,284,0
123044,M,A Level or Equivalent,35-55,0,60,Pass,71.4,2041,0
127582,F,A Level or Equivalent,0-35,0,180,Pass,69.6,1321,0
129955,M,A Level or Equivalent,0-35,0,60,Withdrawn,81.0,1888,1
132976,F,Lower Than A Level,35-55,0,120,Pass,67.4,520,0
134143,F,A Level or Equivalent,35-55,0,60,Distinction,84.4,2732,0
135400,F,Lower Than A Level,35-55,0,60,Withdrawn,53.142857142857146,610,1
137873,M,A Level or Equivalent,35-55,0,60,Pass,80.2,5528,0
141355,F,A Level or Equivalent,0-35,0,240,Pass,72.6,1823,0
141377,M,A Level or Equivalent,0-35,0,345,Withdrawn,48.833333333333336,756,1
142326,F,A Level or Equivalent,35-55,0,60,Pass,73.6,2121,0
144801,F,HE Qualification,35-55,0,60,Pass,68.8,5645,0
145130,M,HE Qualification,0-35,0,120,Pass,54.4,452,0
146188,F,A Level or Equivalent,0-35,0,60,Fail,50.0,597,1
147756,M,Lower Than A Level,0-35,0,120,Fail,68.66666666666667,1718,1
147793,F,Lower Than A Level,0-35,0,90,Withdrawn,52.0,155,1
148993,F,A Level or Equivalent,35-55,0,60,Withdrawn,79.5,3812,1
151358,F,A Level or Equivalent,0-35,0,150,Pass,50.0,270,0
155550,M,A Level or Equivalent,35-55,0,420,Pass,67.0,1529,0
155854,F,A Level or Equivalent,35-55,0,60,Pass,79.8,4003,0
155984,F,Lower Than A Level,0-35,0,60,Withdrawn,78.14285714285714,2645,1
157568,F,A Level or Equivalent,0-35,0,60,Pass,70.6,1405,0
159954,M,A Level or Equivalent,35-55,0,60,Withdrawn,68.2,2062,1
164259,M,A Level or Equivalent,0-35,0,60,Pass,71.8,466,0
167906,F,A Level or Equivalent,35-55,0,60,Pass,69.4,1510,0
168936,F,Lower Than A Level,35-55,0,60,Pass,66.4,745,0
174782,M,HE Qualification,55<=,0,60,Pass,80.4,6318,0
175932,M,HE Qualification,35-55,0,60,Pass,78.2,2016,0
175991,F,A Level or Equivalent,0-35,0,180,Fail,37.6,138,1
180753,M,A Level or Equivalent,0-35,0,120,Pass,53.4,2012,0
181316,F,A Level or Equivalent,35-55,0,120,Withdrawn,76.0,487,1
183096,F,A Level or Equivalent,0-35,0,60,Pass,54.0,1975,0
183947,M,A Level or Equivalent,0-35,0,180,Pass,49.0,964,0
184271,M,HE Qualification,35-55,0,170,Pass,59.8,1312,0
185439,M,HE Qualification,0-35,0,120,Fail,74.0,427,1
186149,M,HE Qualification,35-55,0,60,Pass,76.0,2136,0
187100,M,A Level or Equivalent,35-55,0,60,Distinction,89.2,8562,0
188278,M,A Level or Equivalent,35-55,0,120,Withdrawn,71.66666666666667,4497,1
189879,M,A Level or Equivalent,0-35,0,120,Pass,79.4,1541,0
192183,F,Lower Than A Level,0-35,0,60,Pass,68.4,3219,0
195262,M,A Level or Equivalent,0-35,0,60,Withdrawn,50.0,1905,1
200860,M,Lower Than A Level,35-55,0,60,Pass,54.4,534,0
202635,F,A Level or Equivalent,0-35,0,60,Withdrawn,66.66666666666667,1418,1
205350,M,HE Qualification,35-55,0,60,Pass,72.2,1665,0
205719,M,A Level or Equivalent,0-35,0,90,Fail,56.666666666666664,333,1
227499,F,A Level or Equivalent,35-55,0,60,Distinction,83.6,2953,0
228082,M,HE Qualification,0-35,0,60,Pass,72.4,227,0
228222,M,Lower Than A Level,0-35,0,60,Pass,61.8,445,0
229179,M,A Level or Equivalent,0-35,0,60,Pass,66.0,614,0
229361,M,A Level or Equivalent,0-35,0,60,Pass,78.0,1215,0
231554,M,A Level or Equivalent,0-35,0,240,Pass,67.75,1839,0
235507,M,A Level or Equivalent,0-35,0,240,Withdrawn,57.833333333333336,1257,1
236284,M,Post Graduate Qualification,0-35,0,60,Pass,78.0,732,0
238007,M,HE Qualification,55<=,0,60,Pass,79.2,1935,0
240712,M,HE Qualification,0-35,0,80,Pass,75.8,321,0
240884,M,A Level or Equivalent,0-35,0,120,Pass,58.4,427,0
241649,M,HE Qualification,35-55,0,60,Pass,78.8,1892,0
241729,F,HE Qualification,35-55,0,60,Fail,58.6,1829,1
242793,M,HE Qualification,35-55,0,60,Pass,77.4,658,0
246834,M,A Level or Equivalent,35-55,0,60,Pass,55.6,1174,0
248270,M,Lower Than A Level,0-35,0,90,Pass,78.4,1969,0
255548,M,Lower Than A Level,35-55,0,60,Pass,71.4,2580,0
256815,M,HE Qualification,0-35,0,120,Pass,76.8,1481,0
258392,F,Lower Than A Level,0-35,0,60,Pass,58.8,844,0
258894,F,Lower Than A Level,35-55,0,60,Pass,64.8,4963,0
260355,F,A Level or Equivalent,35-55,0,60,Withdrawn,57.5,426,1
262011,M,A Level or Equivalent,35-55,0,60,Pass,71.0,1066,0
262934,F,A Level or Equivalent,35-55,0,60,Pass,76.6,2407,0
268073,M,A Level or Equivalent,35-55,0,90,Fail,74.6,3210,1
268733,M,A Level or Equivalent,0-35,0,180,Withdrawn,43.0,191,1
271251,M,A Level or Equivalent,35-55,0,60,Pass,76.4,3348,0
277880,F,A Level or Equivalent,0-35,0,60,Withdrawn,67.66666666666667,2028,1
279572,M,Lower Than A Level,0-35,0,60,Distinction,79.2,1183,0
281022,F,A Level or Equivalent,0-35,0,150,Pass,73.4,492,0
281250,M,Lower Than A Level,35-55,0,60,Fail,55.4,130,1
282821,M,A Level or Equivalent,35-55,0,60,Pass,60.6,1961,0
286488,M,A Level or Equivalent,35-55,0,60,Pass,71.0,1046,0
287548,M,A Level or Equivalent,0-35,0,120,Pass,67.8,483,0
290201,M,A Level or Equivalent,0-35,0,60,Pass,70.4,1740,0
290757,M,A Level or Equivalent,0-35,0,60,Pass,75.0,652,0
291334,M,A Level or Equivalent,35-55,0,60,Distinction,83.6,5231,0
293699,M,A Level or Equivalent,0-35,0,120,Pass,46.75,187,0
294570,M,HE Qualification,55<=,0,60,Pass,78.2,1775,0
294594,M,A Level or Equivalent,0-35,0,60,Pass,52.8,865,0
295741,M,A Level or Equivalent,35-55,0,240,Fail,71.0,3099,1
296332,M,Post Graduate Qualification,55<=,0,60,Distinction,86.8,2152,0
298696,F,HE Qualification,0-35,0,60,Pass,80.8,514,0
300398,M,A Level or Equivalent,35-55,0,60,Pass,78.8,1997,0
302302,F,A Level or Equivalent,0-35,0,60,Fail,58.666666666666664,513,1
305152,M,A Level or Equivalent,0-35,0,60,Fail,64.0,146,1
305386,M,A Level or Equivalent,0-35,0,120,Pass,78.0,1277,0
306107,M,A Level or Equivalent,35-55,0,120,Pass,58.2,987,0
306466,M,A Level or Equivalent,35-55,0,60,Pass,82.0,1220,0
306897,F,A Level or Equivalent,0-35,0,60,Pass,62.6,2742,0
307061,F,HE Qualification,0-35,0,60,Pass,81.2,1081,0
307866,M,A Level or Equivalent,0-35,0,60,Pass,60.0,1476,0
311917,M,A Level or Equivalent,55<=,0,120,Pass,59.2,2230,0
312537,M,Post Graduate Qualification,55<=,0,60,Distinction,87.8,12882,0
312782,M,A Level or Equivalent,0-35,0,60,Pass,61.8,281,0
318933,F,HE Qualification,0-35,0,120,Pass,66.6,1281,0
319047,F,A Level or Equivalent,0-35,0,60,Pass,78.4,6589,0
321942,M,HE Qualification,55<=,0,60,Pass,80.4,10083,0
324002,M,HE Qualification,35-55,0,60,Pass,80.4,1901,0
324084,F,A Level or Equivalent,35-55,0,60,Pass,57.6,1961,0
324282,M,A Level or Equivalent,0-35,0,120,Pass,61.2,133,0
331358,F,HE Qualification,35-55,0,60,Withdrawn,84.66666666666667,6588,1
332789,F,A Level or Equivalent,35-55,0,60,Pass,74.4,1655,0
333059,M,A Level or Equivalent,0-35,0,120,Pass,65.8,301,0
333323,M,HE Qualification,0-35,0,60,Pass,74.4,648,0
334259,F,A Level or Equivalent,0-35,0,150,Fail,53.0,332,1
334333,F,A Level or Equivalent,0-35,0,240,Withdrawn,36.0,303,1
335764,F,A Level or Equivalent,0-35,0,60,Withdrawn,86.875,3928,1
336207,M,A Level or Equivalent,0-35,0,120,Pass,68.2,1316,0
339972,M,A Level or Equivalent,0-35,0,60,Pass,49.8,333,0
341872,M,Lower Than A Level,0-35,0,180,Fail,64.2,201,1
342007,F,HE Qualification,0-35,0,60,Withdrawn,82.33333333333333,3178,1
342514,M,Lower Than A Level,55<=,0,60,Pass,77.2,1950,0
342972,M,HE Qualification,0-35,0,60,Pass,60.4,838,0
343446,M,HE Qualification,35-55,0,120,Pass,78.4,3644,0
344282,M,A Level or Equivalent,0-35,0,60,Fail,49.2,65,1
345068,M,A Level or Equivalent,0-35,0,180,Pass,78.0,547,0
345357,M,A Level or Equivalent,0-35,0,60,Distinction,80.4,2219,0
346025,M,A Level or Equivalent,0-35,0,120,Pass,82.4,569,0
350188,M,HE Qualification,35-55,0,60,Pass,73.8,761,0
357668,M,A Level or Equivalent,0-35,0,60,Fail,57.0,166,1
364177,M,Lower Than A Level,35-55,0,60,Fail,69.0,821,1
365244,F,A Level or Equivalent,0-35,0,120,Pass,56.4,891,0
365642,M,Lower Than A Level,35-55,0,60,Pass,70.0,2129,0
366483,M,HE Qualification,0-35,0,60,Pass,76.8,1465,0
368194,F,A Level or Equivalent,0-35,0,120,Pass,50.4,437,0
368824,M,HE Qualification,35-55,0,120,Fail,55.6,292,1
368963,M,Lower Than A Level,0-35,0,180,Pass,66.4,677,0
376581,F,A Level or Equivalent,35-55,0,60,Pass,72.8,2333,0
380953,M,A Level or Equivalent,0-35,0,60,Pass,67.8,1062,0
383254,M,A Level or Equivalent,0-35,0,120,Pass,75.6,543,0
386952,M,A Level or Equivalent,0-35,0,120,Pass,68.0,910,0
388722,F,Lower Than A Level,35-55,0,60,Pass,63.8,671,0
388885,M,A Level or Equivalent,35-55,0,60,Pass,60.6,875,0
390890,M,A Level or Equivalent,0-35,0,90,Withdrawn,68.625,997,1
392756,M,A Level or Equivalent,0-35,0,120,Fail,45.0,363,1
392931,F,A Level or Equivalent,35-55,0,120,Pass,68.4,3003,0
393207,M,A Level or Equivalent,0-35,0,60,Pass,74.2,876,0
396872,M,HE Qualification,0-35,0,180,Pass,61.4,996,0
398552,M,Lower Than A Level,0-35,0,240,Fail,46.4,1183,1
401869,F,Lower Than A Level,0-35,0,60,Pass,65.0,955,0
402470,M,Lower Than A Level,35-55,0,60,Pass,72.6,1445,0
404804,M,Lower Than A Level,35-55,0,120,Pass,43.8,509,0
405088,M,A Level or Equivalent,0-35,0,120,Pass,77.2,1388,0
414117,M,A Level or Equivalent,0-35,0,120,Pass,76.4,807,0
415969,M,HE Qualification,35-55,0,90,Withdrawn,59.666666666666664,1417,1
420087,M,A Level or Equivalent,0-35,0,60,Fail,76.0,342,1
429958,F,A Level or Equivalent,0-35,0,60,Pass,58.4,411,0
441018,F,A Level or Equivalent,0-35,0,150,Pass,59.8,646,0
441888,M,A Level or Equivalent,0-35,0,120,Pass,70.6,739,0
442442,M,HE Qualification,0-35,0,120,Withdrawn,40.5,1009,1
444677,M,HE Qualification,0-35,0,60,Distinction,87.6,1241,0
470588,M,HE Qualification,35-55,0,60,Withdrawn,79.33333333333333,842,1
489455,F,A Level or Equivalent,0-35,0,60,Pass,70.6,2832,0
495284,M,HE Qualification,0-35,0,120,Pass,66.6,901,0
498857,M,HE Qualification,35-55,0,60,Pass,73.0,998,0
508818,M,A Level or Equivalent,0-35,0,120,Pass,71.8,1129,0
512460,M,HE Qualification,0-35,0,120,Pass,72.4,521,0
544103,M,HE Qualification,0-35,0,120,Pass,81.0,2328,0
550383,M,HE Qualification,0-35,0,60,Pass,72.0,910,0
564450,M,HE Qualification,0-35,0,120,Fail,59.2,224,1
568601,F,HE Qualification,0-35,0,60,Withdrawn,81.5,488,1
572652,M,HE Qualification,0-35,0,120,Pass,73.2,780,0
580389,M,HE Qualification,0-35,0,120,Pass,71.4,1271,0
581129,M,A Level or Equivalent,0-35,0,120,Fail,40.0,194,1
588775,M,A Level or Equivalent,0-35,0,120,Pass,82.8,7067,0
591774,M,Post Graduate Qualification,35-55,0,60,Pass,76.2,605,0
606143,M,Post Graduate Qualification,35-55,0,60,Fail,66.0,406,1
704156,M,HE Qualification,55<=,0,120,Pass,66.0,3064,0
705379,M,A Level or Equivalent,55<=,0,120,Distinction,80.8,5680,0
721259,F,Lower Than A Level,55<=,0,120,Withdrawn,65.0,4108,1
749412,M,Lower Than A Level,55<=,0,60,Pass,72.0,4007,0
760729,M,A Level or Equivalent,55<=,0,60,Distinction,81.2,7288,0
905042,F,A Level or Equivalent,35-55,0,60,Pass,76.4,3004,0
949618,F,A Level or Equivalent,35-55,0,60,Pass,61.8,1357,0
958987,M,HE Qualification,35-55,0,60,Pass,77.2,1216,0
968578,F,A Level or Equivalent,35-55,0,60,Pass,72.0,870,0
969076,M,A Level or Equivalent,35-55,0,180,Withdrawn,59.75,1980,1
971027,F,HE Qualification,35-55,0,60,Pass,68.0,3098,0
978739,M,HE Qualification,35-55,0,60,Pass,56.6,5988,0
1035023,F,Lower Than A Level,35-55,0,60,Pass,70.0,1896,0
1105478,M,HE Qualification,55<=,0,60,Pass,82.6,1695,0
1352868,M,A Level or Equivalent,35-55,0,60,Withdrawn,68.57142857142857,1732,1
1401935,M,A Level or Equivalent,35-55,0,60,Fail,35.0,240,1
1402638,F,HE Qualification,35-55,0,60,Pass,75.2,910,0
1414443,F,A Level or Equivalent,35-55,0,120,Fail,59.0,1907,1
1456619,M,A Level or Equivalent,35-55,0,60,Withdrawn,63.0,1173,1
1465690,M,HE Qualification,35-55,0,120,Pass,81.8,3460,0
1472925,F,Lower Than A Level,35-55,0,60,Fail,61.9,1462,1
1488959,M,A Level or Equivalent,35-55,0,60,Pass,61.8,3493,0
1518989,F,Lower Than A Level,35-55,0,60,Pass,73.0,4202,0
1618738,M,Lower Than A Level,35-55,0,60,Pass,79.6,723,0
1620151,M,HE Qualification,35-55,0,60,Fail,77.5,998,1
1626710,M,A Level or Equivalent,35-55,0,60,Distinction,84.6,6025,0
1640609,M,A Level or Equivalent,35-55,0,60,Pass,85.0,5061,0
1686521,F,Lower Than A Level,35-55,0,60,Withdrawn,68.0,643,1
1729319,F,HE Qualification,35-55,0,60,Pass,78.2,2756,0
1746134,M,A Level or Equivalent,35-55,0,60,Pass,83.8,1759,0
1758449,M,Lower Than A Level,35-55,0,75,Withdrawn,61.0,2756,1
1765788,M,HE Qualification,55<=,0,60,Pass,66.2,7057,0
1801641,M,A Level or Equivalent,35-55,0,60,Pass,77.4,459,0
1847830,M,Lower Than A Level,35-55,0,60,Pass,71.0,6518,0
1860318,M,Lower Than A Level,35-55,0,300,Pass,62.6,5975,0
1889511,M,A Level or Equivalent,35-55,0,60,Pass,72.0,1754,0
1889577,F,A Level or Equivalent,35-55,0,60,Pass,73.6,931,0
1894188,F,A Level or Equivalent,0-35,0,60,Pass,70.4,4294,0
1938355,M,A Level or Equivalent,35-55,0,60,Pass,73.0,1992,0
1942396,F,Lower Than A Level,35-55,0,120,Pass,53.6,470,0
1970390,M,Lower Than A Level,35-55,0,60,Withdrawn,83.6,14759,1
1976139,M,Lower Than A Level,35-55,0,120,Pass,67.25,1216,0
2011876,F,A Level or Equivalent,0-35,0,60,Pass,76.0,1401,0
2012966,M,Lower Than A Level,35-55,0,60,Pass,78.4,519,0
2051699,F,Lower Than A Level,35-55,0,60,Pass,66.6,1734,0
2062879,F,A Level or Equivalent,0-35,0,60,Fail,61.2,2386,1
2065691,M,A Level or Equivalent,35-55,0,330,Withdrawn,35.666666666666664,1430,1
2073016,F,Lower Than A Level,35-55,0,60,Withdrawn,58.857142857142854,1022,1
2080474,F,A Level or Equivalent,35-55,0,60,Pass,69.6,1146,0
2083877,F,A Level or Equivalent,0-35,0,120,Pass,67.8,685,0
2084066,F,Lower Than A Level,35-55,0,60,Fail,59.75,1967,1
2104505,M,Lower Than A Level,35-55,0,60,Pass,65.6,701,0
2122180,F,Lower Than A Level,35-55,0,60,Distinction,82.4,4712,0
2139353,M,A Level or Equivalent,35-55,0,120,Withdrawn,66.5,2388,1
2143752,F,Lower Than A Level,35-55,0,60,Pass,52.6,1888,0
2146792,M,HE Qualification,55<=,0,60,Pass,70.0,2385,0
2153153,F,A Level or Equivalent,0-35,0,60,Pass,62.2,3385,0
2155014,F,Lower Than A Level,0-35,0,60,Pass,73.8,1454,0
2164705,F,A Level or Equivalent,0-35,0,120,Fail,70.0,231,1
2171627,F,A Level or Equivalent,35-55,0,60,Pass,69.0,1346,0
2182846,F,A Level or Equivalent,35-55,0,60,Pass,66.0,4214,0
2194100,F,A Level or Equivalent,35-55,0,60,Pass,67.2,1401,0
2197016,F,HE Qualification,35-55,0,60,Pass,75.6,1455,0
2208424,M,A Level or Equivalent,0-35,0,60,Pass,71.2,1080,0
2229865,F,A Level or Equivalent,35-55,0,60,Pass,76.4,3236,0
2255601,F,A Level or Equivalent,35-55,0,120,Withdrawn,54.5,2543,1
2268379,F,A Level or Equivalent,0-35,0,60,Pass,83.0,1685,0
2278464,M,Lower Than A Level,35-55,0,60,Pass,51.4,307,0
2293923,M,A Level or Equivalent,0-35,0,150,Pass,61.2,303,0
2312620,F,HE Qualification,35-55,0,60,Withdrawn,32.0,1129,1
2318055,M,A Level or Equivalent,35-55,0,60,Withdrawn,75.8,1726,1
2329342,F,Lower Than A Level,35-55,0,120,Pass,57.2,565,0
2339528,F,Lower Than A Level,0-35,0,60,Distinction,80.0,593,0
2342426,M,Lower Than A Level,35-55,0,60,Fail,73.2,1814,1
2344901,F,A Level or Equivalent,0-35,0,60,Fail,51.5,445,1
2358969,F,A Level or Equivalent,0-35,0,180,Withdrawn,69.0,2106,1
2364471,F,HE Qualification,0-35,0,60,Pass,83.4,7182,0
2367155,F,A Level or Equivalent,0-35,0,120,Pass,75.6,2148,0
2369266,F,Lower Than A Level,35-55,0,60,Pass,50.6,2146,0
2376496,F,A Level or Equivalent,0-35,0,120,Pass,73.4,749,0
2391984,M,A Level or Equivalent,0-35,0,60,Withdrawn,73.0,818,1
2411661,F,A Level or Equivalent,0-35,0,120,Fail,46.8,574,1
2411778,M,HE Qualification,0-35,0,120,Withdrawn,80.0,1497,1
2412002,M,Lower Than A Level,35-55,0,90,Distinction,82.8,3344,0
2412967,F,A Level or Equivalent,35-55,0,60,Pass,77.6,2458,0
2429854,M,A Level or Equivalent,35-55,0,120,Withdrawn,51.0,953,1
2437837,F,A Level or Equivalent,0-35,0,60,Pass,74.4,2684,0
2449878,F,A Level or Equivalent,0-35,0,60,Pass,60.6,622,0
2456480,M,Lower Than A Level,35-55,0,120,Fail,24.666666666666668,183,1
2457256,M,Lower Than A Level,35-55,0,180,Pass,70.0,1611,0
2458355,M,Lower Than A Level,35-55,0,60,Pass,90.6,4187,0
2460080,M,HE Qualification,55<=,0,60,Pass,78.8,3424,0
2461190,M,HE Qualification,55<=,0,60,Fail,56.0,967,1
2469673,F,Lower Than A Level,35-55,0,60,Fail,44.5,523,1
2470694,F,HE Qualification,55<=,0,60,Withdrawn,67.0,3115,1
2479954,M,A Level or Equivalent,0-35,0,60,Pass,79.6,323,0
2481901,M,Lower Than A Level,35-55,0,60,Pass,75.8,1949,0
2482700,M,Lower Than A Level,0-35,0,120,Pass,55.6,1616,0
2486127,F,HE Qualification,0-35,0,120,Pass,73.6,1690,0
2498700,F,Lower Than A Level,0-35,0,240,Pass,77.2,2864,0
2516503,M,HE Qualification,35-55,0,60,Pass,79.4,3070,0
2518069,M,A Level or Equivalent,0-35,0,60,Pass,76.6,1617,0
2521459,F,Lower Than A Level,0-35,0,60,Pass,60.8,1078,0
2523736,M,A Level or Equivalent,55<=,0,120,Pass,61.75,470,0
2529279,F,HE Qualification,35-55,0,60,Pass,78.0,1189,0
2532302,F,A Level or Equivalent,0-35,0,60,Pass,63.2,1216,0
2536991,M,HE Qualification,55<=,0,60,Distinction,80.8,1080,0
2551220,F,Lower Than A Level,0-35,0,60,Pass,64.8,1327,0
2552472,F,HE Qualification,35-55,0,120,Withdrawn,53.5,519,1
2555340,F,HE Qualification,35-55,0,60,Pass,80.6,4441,0
2557283,M,HE Qualification,55<=,0,60,Pass,81.2,7262,0
2559575,M,Lower Than A Level,0-35,0,60,Pass,71.2,650,0
2562034,M,A Level or Equivalent,0-35,0,60,Pass,65.4,248,0
2566163,F,A Level or Equivalent,0-35,0,60,Pass,71.8,1591,0
2566592,F,A Level or Equivalent,35-55,0,60,Pass,71.8,1359,0
2569324,M,A Level or Equivalent,0-35,0,120,Withdrawn,71.2,493,1
2574583,M,Lower Than A Level,35-55,0,60,Pass,70.8,1890,0
2576122,M,A Level or Equivalent,0-35,0,60,Withdrawn,64.0,261,1
2578995,F,A Level or Equivalent,0-35,0,60,Pass,79.6,1326,0
2586560,F,Lower Than A Level,35-55,0,60,Pass,73.6,2905,0
2594139,F,A Level or Equivalent,0-35,0,60,Pass,76.0,1868,0
2598871,F,A Level or Equivalent,35-55,0,60,Pass,72.6,2049,0
2599352,F,A Level or Equivalent,0-35,0,120,Pass,76.4,1160,0
2600688,M,A Level or Equivalent,0-35,0,60,Pass,70.0,582,0
2606098,F,A Level or Equivalent,0-35,0,60,Pass,71.4,491,0
2613116,F,Lower Than A Level,35-55,0,60,Pass,78.2,1181,0
2617002,F,A Level or Equivalent,0-35,0,60,Pass,64.8,1473,0
2639449,M,A Level or Equivalent,0-35,0,120,Pass,56.0,797,0
2639540,F,A Level or Equivalent,35-55,0,60,Pass,79.4,1964,0
2639641,M,Lower Than A Level,35-55,0,120,Pass,65.6,2042,0
2641155,M,Lower Than A Level,35-55,0,60,Pass,79.2,4109,0
2643002,F,A Level or Equivalent,35-55,0,60,Pass,51.2,2434,0
2645733,F,A Level or Equivalent,0-35,0,180,Pass,82.6,1596,0
2649826,M,Lower Than A Level,35-55,0,60,Distinction,83.4,5974,0
2650282,M,A Level or Equivalent,35-55,0,60,Pass,84.2,641,0
2664024,M,HE Qualification,35-55,0,60,Pass,63.2,808,0
2666246,M,A Level or Equivalent,0-35,0,60,Pass,76.0,612,0
2669816,M,A Level or Equivalent,0-35,0,60,Fail,57.2,280,1
2671132,M,HE Qualification,55<=,0,60,Pass,68.8,3720,0
2676809,F,HE Qualification,0-35,0,150,Fail,43.333333333333336,309,1
2678643,F,A Level or Equivalent,0-35,0,60,Pass,71.4,2287,0
2685865,F,Lower Than A Level,0-35,0,60,Pass,78.6,2815,0
2688067,M,A Level or Equivalent,0-35,0,60,Pass,67.8,289,0
2689958,M,A Level or Equivalent,35-55,0,60,Distinction,81.6,3929,0
2691206,F,A Level or Equivalent,0-35,0,60,Distinction,84.8,2297,0
2691244,M,A Level or Equivalent,35-55,0,180,Pass,58.25,472,0
2694424,M,A Level or Equivalent,35-55,0,120,Pass,79.4,4218,0
2698257,M,Lower Than A Level,0-35,0,120,Pass,67.8,758,0
6516,M,HE Qualification,55<=,0,60,Pass,61.8,2791,0
24734,F,Lower Than A Level,0-35,0,60,Pass,46.8,499,0
26192,F,A Level or Equivalent,35-55,0,60,Distinction,86.2,2223,0
28061,M,Lower Than A Level,35-55,0,60,Pass,77.6,1590,0
31600,F,A Level or Equivalent,0-35,0,60,Pass,54.8,429,0
46844,M,HE Qualification,35-55,0,60,Pass,64.8,340,0
52765,F,Lower Than A Level,35-55,0,120,Pass,63.0,4938,0
55104,F,A Level or Equivalent,0-35,0,60,Pass,71.0,1480,0
58071,M,HE Qualification,55<=,0,60,Pass,76.0,3648,0
58316,F,A Level or Equivalent,0-35,0,120,Pass,73.4,1295,0
62487,F,A Level or Equivalent,0-35,0,60,Pass,71.6,683,0
63165,M,A Level or Equivalent,35-55,0,60,Pass,51.4,912,0
65002,F,A Level or Equivalent,0-35,1,60,Fail,67.0,176,1
70011,F,HE Qualification,0-35,0,60,Pass,80.2,6396,0
75255,M,A Level or Equivalent,0-35,0,120,Pass,81.8,950,0
79403,M,Lower Than A Level,35-55,0,60,Withdrawn,60.666666666666664,1782,1
85092,F,Lower Than A Level,0-35,0,60,Pass,58.0,665,0
85144,M,A Level or Equivalent,35-55,0,60,Pass,77.6,656,0
85302,M,Lower Than A Level,35-55,0,60,Pass,71.2,2280,0
87431,M,Lower Than A Level,35-55,0,60,Withdrawn,50.0,802,1
94961,M,Lower Than A Level,35-55,1,60,Pass,65.33333333333333,1240,0
95755,M,Lower Than A Level,0-35,0,60,Withdrawn,45.0,381,1
101116,F,Lower Than A Level,35-55,0,60,Pass,82.6,1769,0
107489,F,HE Qualification,0-35,0,60,Pass,82.0,3722,0
108872,M,HE Qualification,55<=,0,60,Pass,61.8,1377,0
109155,F,HE Qualification,0-35,0,60,Pass,67.8,3019,0
117818,F,A Level or Equivalent,35-55,0,60,Pass,57.6,1695,0
119902,F,A Level or Equivalent,35-55,0,60,Withdrawn,67.0,2590,1
121349,F,A Level or Equivalent,35-55,1,60,Pass,76.0,2259,0
124064,F,A Level or Equivalent,0-35,0,120,Distinction,87.2,2042,0
125018,M,HE Qualification,35-55,0,60,Pass,64.8,2195,0
129955,M,A Level or Equivalent,0-35,1,60,Withdrawn,81.0,1888,1
130034,F,A Level or Equivalent,35-55,0,60,Pass,78.4,1831,0
130547,F,A Level or Equivalent,35-55,0,60,Pass,58.4,1252,0
130636,M,A Level or Equivalent,0-35,0,60,Pass,60.0,332,0
