user_id,subject,topic,difficulty_level,total_questions,correct_answers,wrong_answers,topic_accuracy,attempt_count,study_duration_minutes,pre_test_score,post_test_score,improvement_score,mastery_level,needs_remedial,recommended_action,remediation_material_id,interaction_date
U00024,English,Tenses,easy,15,13,2,86.67,1,40,83.34,88.06,4.72,mastered,0,continue,M0042,2026-05-06
U00025,Mathematics,Fractions,medium,20,17,3,85.0,3,45,78.3,79.5,1.2,mastered,0,continue,M0003,2026-01-20
U00026,Programming,Variables,medium,20,5,15,25.0,4,51,25.01,47.35,22.34,weak,1,remedial,M0016,2026-01-11
U00027,Science,Energy,medium,5,2,3,40.0,2,32,34.9,59.53,24.63,weak,1,remedial,M0054,2026-05-06
U00028,Mathematics,Statistics,easy,15,12,3,80.0,2,18,79.98,82.19,2.21,mastered,0,continue,M0010,2026-02-22
U00029,English,Writing,easy,15,14,1,93.33,5,55,91.47,96.08,4.61,mastered,0,continue,M0045,2026-02-04
U00030,Mathematics,Geometry,medium,20,6,14,30.0,2,57,24.43,58.55,34.12,weak,1,remedial,M0007,2026-05-09
U00031,Digital Literacy,File Management,hard,20,0,20,0.0,3,57,0,17.49,17.49,weak,1,remedial,M0067,2026-01-12
U00032,English,Vocabulary,easy,15,11,4,73.33,4,44,81.13,87.72,6.59,partial,0,review,M0032,2026-03-06
U00033,Science,Energy,easy,20,7,13,35.0,1,29,39.62,50.45,10.83,weak,1,remedial,M0053,2026-02-03
U00034,Mathematics,Geometry,easy,20,7,13,35.0,2,34,34.28,61.1,26.82,weak,1,remedial,M0009,2026-03-09
U00035,Digital Literacy,Online Collaboration,hard,15,10,5,66.67,2,51,65.38,77.29,11.91,partial,0,review,M0070,2026-04-17
U00036,Business,Marketing Basics,hard,20,9,11,45.0,2,28,50.01,65.83,15.82,weak,1,remedial,M0076,2026-01-01
U00037,English,Grammar,hard,15,5,10,33.33,1,66,32.15,44.85,12.7,weak,1,remedial,M0036,2026-04-24
U00038,Mathematics,Fractions,easy,10,1,9,10.0,1,30,9.22,24.93,15.71,weak,1,remedial,M0002,2026-04-27
U00039,Science,Ecosystem,medium,15,11,4,73.33,3,64,70.96,80.9,9.94,partial,0,review,M0055,2026-02-09
U00040,Business,Entrepreneurship,easy,5,5,0,100.0,2,34,100,100,0,mastered,0,continue,M0087,2026-03-10
U00041,Mathematics,Algebra Basics,easy,15,9,6,60.0,1,18,58.63,64.22,5.59,partial,0,review,M0006,2026-01-30
U00042,English,Tenses,easy,20,16,4,80.0,1,37,78.47,81.67,3.2,mastered,0,continue,M0041,2026-01-30
U00043,Science,Cells,hard,10,2,8,20.0,1,25,17.59,45.77,28.18,weak,1,remedial,M0048,2026-02-07
U00044,Programming,Variables,easy,10,4,6,40.0,3,41,41.46,60.26,18.8,weak,1,remedial,M0016,2026-03-21
U00045,Science,Ecosystem,easy,15,12,3,80.0,1,31,79.03,81.64,2.61,mastered,0,continue,M0055,2026-04-04
U00046,English,Reading Comprehension,medium,15,7,8,46.67,1,49,47.61,73.7,26.09,weak,1,remedial,M0038,2026-02-02
U00047,Business,Business Communication,easy,20,15,5,75.0,1,20,82.51,92.84,10.33,partial,0,review,M0090,2026-04-25
U00048,Programming,Data Structures,easy,20,17,3,85.0,3,55,91.15,95.8,4.65,mastered,0,continue,M0029,2026-01-14
U00049,Science,Matter,medium,20,6,14,30.0,2,61,31.55,41.96,10.41,weak,1,remedial,M0060,2026-05-28
U00050,Programming,Conditional Logic,easy,5,3,2,60.0,2,50,58.25,66.89,8.64,partial,0,review,M0021,2026-04-10
U00051,English,Reading Comprehension,medium,15,9,6,60.0,1,39,66.93,76.11,9.18,partial,0,review,M0039,2026-05-02
U00052,English,Vocabulary,medium,10,7,3,70.0,1,41,63.32,71.41,8.09,partial,0,review,M0032,2026-02-16
U00053,Digital Literacy,File Management,easy,5,2,3,40.0,1,19,32.92,59.7,26.78,weak,1,remedial,M0068,2026-04-04
U00054,Digital Literacy,Data Privacy,hard,10,8,2,80.0,1,33,77.03,78.42,1.39,mastered,0,continue,M0064,2026-01-07
U00055,Business,Financial Literacy,medium,20,16,4,80.0,1,56,75.79,78.26,2.47,mastered,0,continue,M0080,2026-05-22
U00056,Digital Literacy,File Management,medium,10,7,3,70.0,3,49,72.24,77.42,5.18,partial,0,review,M0067,2026-04-21
U00057,Digital Literacy,Internet Safety,hard,10,3,7,30.0,4,53,22.66,54.25,31.59,weak,1,remedial,M0061,2026-01-12
U00058,Business,Business Communication,easy,10,8,2,80.0,1,50,81.71,83.27,1.56,mastered,0,continue,M0090,2026-03-23
U00059,Business,Customer Service,hard,10,4,6,40.0,3,61,47.94,69.61,21.67,weak,1,remedial,M0083,2026-05-08
U00060,Mathematics,Fractions,hard,20,7,13,35.0,1,52,39.72,58.2,18.48,weak,1,remedial,M0002,2026-02-06
U00061,Programming,Data Structures,medium,5,2,3,40.0,5,62,37.38,68.09,30.71,weak,1,remedial,M0030,2026-05-06
U00062,Business,Business Communication,easy,5,1,4,20.0,2,28,23.54,48.13,24.59,weak,1,remedial,M0088,2026-05-15
U00063,Business,Business Communication,medium,20,16,4,80.0,3,48,83.09,86.14,3.05,mastered,0,continue,M0088,2026-03-05
U00064,English,Writing,easy,15,9,6,60.0,2,22,63.96,69.53,5.57,partial,0,review,M0045,2026-03-11
U00065,Digital Literacy,File Management,easy,10,4,6,40.0,2,45,37.14,63.29,26.15,weak,1,remedial,M0067,2026-05-27
U00066,Programming,Data Structures,medium,5,4,1,80.0,1,63,87.73,89.15,1.42,mastered,0,continue,M0030,2026-05-20
U00067,Digital Literacy,Online Collaboration,hard,10,5,5,50.0,3,54,52.71,67.33,14.62,weak,1,remedial,M0070,2026-05-03
U00068,English,Grammar,easy,20,8,12,40.0,2,36,35.49,51.68,16.19,weak,1,remedial,M0036,2026-01-21
U00069,Digital Literacy,Online Collaboration,medium,15,14,1,93.33,3,49,98.39,100,1.61,mastered,0,continue,M0072,2026-01-19
U00070,Mathematics,Statistics,easy,5,3,2,60.0,5,45,57.99,71.69,13.7,partial,0,review,M0011,2026-04-07
U00071,Science,Cells,medium,10,10,0,100.0,1,35,100,100,0,mastered,0,continue,M0048,2026-04-18
U00072,Digital Literacy,Internet Safety,easy,5,5,0,100.0,1,54,100,100,0,mastered,0,continue,M0062,2026-05-28
U00073,Digital Literacy,File Management,easy,10,8,2,80.0,1,36,75.86,76.99,1.13,mastered,0,continue,M0069,2026-02-06
U00074,Science,Cells,medium,20,13,7,65.0,1,50,72.99,81.74,8.75,partial,0,review,M0046,2026-02-22
U00075,Science,Force and Motion,medium,15,11,4,73.33,1,34,78.66,87.65,8.99,partial,0,review,M0051,2026-03-28
U00076,English,Tenses,hard,20,11,9,55.0,2,61,47.25,70.56,23.31,weak,1,remedial,M0041,2026-01-04
U00077,Mathematics,Linear Equations,medium,15,5,10,33.33,2,55,26.83,46.31,19.48,weak,1,remedial,M0015,2026-05-02
U00078,Mathematics,Fractions,medium,5,3,2,60.0,4,43,59.61,63.17,3.56,partial,0,review,M0001,2026-03-13
U00079,Digital Literacy,Basic Troubleshooting,medium,10,5,5,50.0,5,73,55.42,73.93,18.51,weak,1,remedial,M0075,2026-04-12
U00080,English,Vocabulary,medium,20,11,9,55.0,1,42,48.49,73.44,24.95,weak,1,remedial,M0032,2026-04-09
U00081,Mathematics,Geometry,medium,5,5,0,100.0,1,40,100,100,0,mastered,0,continue,M0008,2026-02-20
U00082,Science,Cells,easy,5,3,2,60.0,1,21,57.03,71.6,14.57,partial,0,review,M0047,2026-03-16
U00083,Business,Entrepreneurship,hard,10,4,6,40.0,1,57,42.77,56.25,13.48,weak,1,remedial,M0086,2026-03-03
U00084,English,Grammar,medium,20,2,18,10.0,1,24,6.14,28.91,22.77,weak,1,remedial,M0036,2026-05-23
U00085,Digital Literacy,Basic Troubleshooting,easy,15,12,3,80.0,1,32,85.59,88.83,3.24,mastered,0,continue,M0075,2026-02-12
U00086,Business,Financial Literacy,medium,10,7,3,70.0,3,46,74.74,84.67,9.93,partial,0,review,M0081,2026-02-17
U00087,English,Reading Comprehension,easy,5,1,4,20.0,3,40,21.83,33.95,12.12,weak,1,remedial,M0037,2026-03-22
U00088,Mathematics,Algebra Basics,easy,10,7,3,70.0,2,28,75.85,90.27,14.42,partial,0,review,M0005,2026-02-04
U00089,Programming,Functions,hard,20,4,16,20.0,1,45,15.96,47.83,31.87,weak,1,remedial,M0025,2026-04-26
U00090,English,Reading Comprehension,hard,5,3,2,60.0,1,32,52.95,60.16,7.21,partial,0,review,M0038,2026-05-18
U00091,Programming,Loops,hard,15,2,13,13.33,1,37,15.47,47.47,32.0,weak,1,remedial,M0022,2026-04-14
U00092,Digital Literacy,File Management,medium,15,7,8,46.67,3,56,52.98,82.04,29.06,weak,1,remedial,M0067,2026-01-26
U00093,Business,Entrepreneurship,easy,10,9,1,90.0,2,36,89.63,90.29,0.66,mastered,0,continue,M0085,2026-05-13
U00094,Business,Entrepreneurship,easy,15,12,3,80.0,3,42,82.05,82.81,0.76,mastered,0,continue,M0086,2026-04-24
U00095,Programming,Variables,hard,10,4,6,40.0,1,35,43.97,61.36,17.39,weak,1,remedial,M0016,2026-03-03
U00096,Science,Ecosystem,easy,20,16,4,80.0,1,29,73.34,73.74,0.4,mastered,0,continue,M0055,2026-02-09
U00097,Digital Literacy,File Management,medium,5,2,3,40.0,1,39,39.94,58.61,18.67,weak,1,remedial,M0069,2026-03-08
U00098,Programming,Loops,easy,15,10,5,66.67,1,32,59.41,66.78,7.37,partial,0,review,M0022,2026-02-15
U00099,Mathematics,Linear Equations,hard,20,1,19,5.0,3,57,9.74,23.5,13.76,weak,1,remedial,M0014,2026-01-07
U00100,Programming,Data Structures,easy,5,3,2,60.0,4,36,60.32,71.73,11.41,partial,0,review,M0029,2026-04-28
U00101,Business,Marketing Basics,medium,10,6,4,60.0,1,39,53.69,62.08,8.39,partial,0,review,M0077,2026-04-15
U00102,Mathematics,Linear Equations,medium,10,4,6,40.0,4,52,40.9,64.65,23.75,weak,1,remedial,M0013,2026-04-29
U00103,Mathematics,Algebra Basics,easy,5,5,0,100.0,1,50,99.09,99.73,0.64,mastered,0,continue,M0005,2026-02-01
U00104,Mathematics,Statistics,easy,20,19,1,95.0,3,51,92.75,95.47,2.72,mastered,0,continue,M0011,2026-03-30
U00105,Digital Literacy,Basic Troubleshooting,easy,15,7,8,46.67,3,31,52.19,66.59,14.4,weak,1,remedial,M0075,2026-03-23
U00106,Business,Customer Service,hard,5,2,3,40.0,1,62,32.9,57.94,25.04,weak,1,remedial,M0082,2026-05-15
U00107,Science,Cells,easy,10,10,0,100.0,2,32,100,100,0,mastered,0,continue,M0047,2026-05-05
U00108,Business,Customer Service,easy,15,8,7,53.33,3,50,49.14,83.7,34.56,weak,1,remedial,M0082,2026-01-23
U00109,Business,Customer Service,medium,15,10,5,66.67,1,46,60.35,67.45,7.1,partial,0,review,M0083,2026-02-11
U00110,Business,Marketing Basics,medium,5,4,1,80.0,2,45,86.81,89.51,2.7,mastered,0,continue,M0078,2026-03-14
U00111,English,Grammar,easy,20,19,1,95.0,2,38,87.99,91.75,3.76,mastered,0,continue,M0036,2026-01-25
U00112,Mathematics,Geometry,hard,20,4,16,20.0,5,78,18.97,53.9,34.93,weak,1,remedial,M0009,2026-02-07
U00113,Digital Literacy,File Management,easy,5,1,4,20.0,1,38,21.32,55.44,34.12,weak,1,remedial,M0067,2026-01-28
U00114,Digital Literacy,Internet Safety,medium,15,9,6,60.0,2,55,67.56,73.3,5.74,partial,0,review,M0062,2026-04-24
U00115,English,Reading Comprehension,medium,5,1,4,20.0,2,57,26.07,36.79,10.72,weak,1,remedial,M0037,2026-02-21
U00116,Mathematics,Algebra Basics,easy,5,3,2,60.0,2,51,57.6,62.56,4.96,partial,0,review,M0005,2026-01-24
U00117,English,Vocabulary,medium,10,8,2,80.0,1,20,83.4,86.95,3.55,mastered,0,continue,M0032,2026-04-19
U00118,Science,Energy,medium,10,9,1,90.0,1,23,93.38,97.84,4.46,mastered,0,continue,M0053,2026-02-18
U00119,Programming,Data Structures,medium,5,4,1,80.0,1,54,81.15,82.1,0.95,mastered,0,continue,M0030,2026-02-26
U00120,Business,Business Communication,medium,20,6,14,30.0,4,60,23.14,55.38,32.24,weak,1,remedial,M0090,2026-01-31
U00121,Business,Entrepreneurship,medium,20,9,11,45.0,1,48,37.6,52.59,14.99,weak,1,remedial,M0086,2026-01-04
U00122,English,Writing,easy,5,3,2,60.0,1,28,63.65,73.81,10.16,partial,0,review,M0044,2026-04-22
U00123,Business,Financial Literacy,easy,20,17,3,85.0,1,26,81.82,85.13,3.31,mastered,0,continue,M0081,2026-05-14
U00124,English,Writing,medium,10,4,6,40.0,4,43,43.01,65.03,22.02,weak,1,remedial,M0043,2026-01-01
U00125,Mathematics,Fractions,hard,20,6,14,30.0,2,56,35.04,49.61,14.57,weak,1,remedial,M0002,2026-04-13
U00126,Science,Energy,hard,20,16,4,80.0,5,67,82.72,84.41,1.69,mastered,0,continue,M0054,2026-01-25
U00127,Science,Force and Motion,medium,20,19,1,95.0,1,51,100,100,0,mastered,0,continue,M0051,2026-03-19
U00128,Digital Literacy,Basic Troubleshooting,easy,20,9,11,45.0,4,51,43.29,64.72,21.43,weak,1,remedial,M0073,2026-03-28
U00129,Mathematics,Statistics,easy,5,3,2,60.0,2,14,54.84,64.78,9.94,partial,0,review,M0012,2026-02-02
U00130,Mathematics,Statistics,medium,15,6,9,40.0,1,37,42.76,77.29,34.53,weak,1,remedial,M0012,2026-02-15
U00131,Digital Literacy,Basic Troubleshooting,medium,15,11,4,73.33,1,55,68.59,78.08,9.49,partial,0,review,M0074,2026-04-26
U00132,Mathematics,Linear Equations,hard,10,7,3,70.0,2,59,74.49,87.93,13.44,partial,0,review,M0013,2026-04-05
U00133,Digital Literacy,Basic Troubleshooting,medium,10,10,0,100.0,3,54,97.16,97.41,0.25,mastered,0,continue,M0075,2026-03-19
U00134,Science,Matter,medium,5,5,0,100.0,1,43,97.31,99.11,1.8,mastered,0,continue,M0058,2026-05-16
U00135,Science,Matter,hard,5,3,2,60.0,1,46,52.4,61.6,9.2,partial,0,review,M0059,2026-05-12
U00136,Digital Literacy,Online Collaboration,medium,15,12,3,80.0,2,61,77.31,77.75,0.44,mastered,0,continue,M0070,2026-02-15
U00137,English,Writing,easy,10,6,4,60.0,2,32,58.1,70.97,12.87,partial,0,review,M0043,2026-05-02
U00138,Programming,Data Structures,easy,20,14,6,70.0,1,53,71.87,77.9,6.03,partial,0,review,M0028,2026-02-16
U00139,Business,Business Communication,hard,20,9,11,45.0,2,51,47.87,66.16,18.29,weak,1,remedial,M0089,2026-04-29
U00140,Science,Energy,medium,20,16,4,80.0,3,60,83.73,85.18,1.45,mastered,0,continue,M0053,2026-05-09
U00141,Digital Literacy,Internet Safety,medium,5,1,4,20.0,5,61,17.74,33.21,15.47,weak,1,remedial,M0062,2026-03-01
U00142,Mathematics,Geometry,medium,5,2,3,40.0,2,33,36.38,64.93,28.55,weak,1,remedial,M0009,2026-05-20
U00143,Digital Literacy,Data Privacy,medium,20,7,13,35.0,2,38,29.58,60.41,30.83,weak,1,remedial,M0064,2026-03-04
U00144,Mathematics,Algebra Basics,medium,10,4,6,40.0,2,45,35.51,55.78,20.27,weak,1,remedial,M0004,2026-05-30
U00145,Programming,Data Structures,medium,15,8,7,53.33,2,68,56.19,76.98,20.79,weak,1,remedial,M0029,2026-04-05
U00146,Mathematics,Linear Equations,medium,20,17,3,85.0,2,45,81.06,85.33,4.27,mastered,0,continue,M0014,2026-05-25
U00147,English,Writing,easy,20,11,9,55.0,1,35,61.81,82.69,20.88,weak,1,remedial,M0043,2026-03-09
U00148,Programming,Loops,easy,5,3,2,60.0,1,34,65.61,79.78,14.17,partial,0,review,M0024,2026-03-15
U00149,Programming,Variables,medium,10,9,1,90.0,3,38,87.56,91.64,4.08,mastered,0,continue,M0016,2026-02-19
U00150,Science,Ecosystem,medium,15,5,10,33.33,2,40,29.46,49.03,19.57,weak,1,remedial,M0055,2026-02-28
U00151,English,Tenses,hard,5,5,0,100.0,2,59,100,100,0,mastered,0,continue,M0042,2026-02-21
U00152,Programming,Conditional Logic,hard,10,5,5,50.0,1,62,54.23,77.01,22.78,weak,1,remedial,M0020,2026-02-26
U00153,Digital Literacy,Data Privacy,easy,20,19,1,95.0,4,47,89.1,91.98,2.88,mastered,0,continue,M0064,2026-01-26
U00154,Business,Customer Service,hard,20,14,6,70.0,1,53,68.59,75.8,7.21,partial,0,review,M0084,2026-02-20
U00155,Digital Literacy,Basic Troubleshooting,medium,10,0,10,0.0,1,34,2.45,30.21,27.76,weak,1,remedial,M0075,2026-04-12
U00156,English,Tenses,medium,15,13,2,86.67,2,52,80.02,84.68,4.66,mastered,0,continue,M0041,2026-03-21
U00157,Programming,Conditional Logic,medium,20,8,12,40.0,1,38,45.05,76.25,31.2,weak,1,remedial,M0020,2026-03-15
U00158,Science,Matter,easy,20,1,19,5.0,1,31,1.63,27.55,25.92,weak,1,remedial,M0060,2026-04-26
U00159,English,Writing,medium,15,13,2,86.67,1,32,92.13,96.22,4.09,mastered,0,continue,M0043,2026-02-01
U00160,Business,Financial Literacy,medium,20,12,8,60.0,2,46,58.33,64.25,5.92,partial,0,review,M0079,2026-05-29
U00161,Business,Entrepreneurship,medium,10,6,4,60.0,3,51,59.02,64.34,5.32,partial,0,review,M0087,2026-04-07
U00162,English,Grammar,easy,5,3,2,60.0,4,30,60.87,64.7,3.83,partial,0,review,M0034,2026-04-26
U00163,English,Reading Comprehension,medium,20,0,20,0.0,2,55,5.38,31.83,26.45,weak,1,remedial,M0039,2026-03-07
U00164,Mathematics,Geometry,easy,5,0,5,0.0,3,50,4.71,16.17,11.46,weak,1,remedial,M0009,2026-03-10
U00165,Digital Literacy,Internet Safety,medium,15,2,13,13.33,2,30,13.87,38.87,25.0,weak,1,remedial,M0062,2026-03-22
U00166,Digital Literacy,File Management,hard,20,9,11,45.0,2,52,45.9,79.05,33.15,weak,1,remedial,M0067,2026-01-25
U00167,Mathematics,Statistics,medium,10,7,3,70.0,1,37,74.93,82.51,7.58,partial,0,review,M0010,2026-03-27
U00168,English,Tenses,medium,5,5,0,100.0,1,36,92.81,96.47,3.66,mastered,0,continue,M0041,2026-04-25
U00169,Digital Literacy,Basic Troubleshooting,medium,10,10,0,100.0,2,13,100,100,0,mastered,0,continue,M0074,2026-04-21
U00170,English,Writing,easy,20,10,10,50.0,1,18,49.2,59.77,10.57,weak,1,remedial,M0043,2026-05-18
U00171,Programming,Conditional Logic,medium,15,10,5,66.67,4,35,66.81,78.33,11.52,partial,0,review,M0020,2026-05-05
U00172,Digital Literacy,Basic Troubleshooting,easy,10,8,2,80.0,4,67,86.25,90.32,4.07,mastered,0,continue,M0073,2026-05-23
U00173,English,Grammar,easy,20,15,5,75.0,4,56,75.92,90.3,14.38,partial,0,review,M0034,2026-02-17
U00174,English,Grammar,medium,15,14,1,93.33,1,34,85.85,89.67,3.82,mastered,0,continue,M0034,2026-03-11
U00175,Science,Force and Motion,medium,10,9,1,90.0,3,40,95.23,95.44,0.21,mastered,0,continue,M0049,2026-05-13
U00176,Digital Literacy,Online Collaboration,hard,5,1,4,20.0,2,51,12.87,35.79,22.92,weak,1,remedial,M0070,2026-04-29
U00177,Business,Entrepreneurship,easy,5,2,3,40.0,1,21,34.62,62.95,28.33,weak,1,remedial,M0085,2026-01-30
U00178,Business,Entrepreneurship,medium,5,2,3,40.0,2,32,34.4,66.12,31.72,weak,1,remedial,M0085,2026-01-14
U00179,Science,Energy,easy,20,3,17,15.0,1,32,16.25,41.33,25.08,weak,1,remedial,M0053,2026-01-23
U00180,Mathematics,Fractions,medium,10,2,8,20.0,3,53,13.04,34.81,21.77,weak,1,remedial,M0001,2026-03-12
U00181,English,Writing,medium,10,6,4,60.0,1,47,60.32,70.9,10.58,partial,0,review,M0044,2026-02-16
U00182,Digital Literacy,Data Privacy,medium,10,7,3,70.0,1,48,62.1,73.33,11.23,partial,0,review,M0065,2026-04-12
U00183,Business,Business Communication,medium,5,3,2,60.0,2,53,52.9,62.15,9.25,partial,0,review,M0090,2026-03-22
U00184,Digital Literacy,Basic Troubleshooting,easy,15,12,3,80.0,2,15,87.21,88.29,1.08,mastered,0,continue,M0074,2026-02-14
U00185,Mathematics,Geometry,medium,10,2,8,20.0,2,42,12.07,45.38,33.31,weak,1,remedial,M0009,2026-01-23
U00186,English,Tenses,hard,5,4,1,80.0,1,35,73.88,74.63,0.75,mastered,0,continue,M0041,2026-01-30
U00187,Mathematics,Linear Equations,medium,5,4,1,80.0,1,46,82.81,83.34,0.53,mastered,0,continue,M0013,2026-01-23
U00188,Science,Ecosystem,easy,20,9,11,45.0,3,51,51.12,72.45,21.33,weak,1,remedial,M0055,2026-01-17
U00189,Science,Cells,medium,20,15,5,75.0,3,46,68.83,78.98,10.15,partial,0,review,M0047,2026-05-23
U00190,Mathematics,Statistics,easy,20,5,15,25.0,1,12,32.72,51.33,18.61,weak,1,remedial,M0010,2026-05-30
U00191,Mathematics,Linear Equations,hard,20,19,1,95.0,4,66,97.37,98.09,0.72,mastered,0,continue,M0014,2026-04-22
U00192,Programming,Variables,easy,20,17,3,85.0,3,44,85.42,89.72,4.3,mastered,0,continue,M0017,2026-04-30
U00193,Digital Literacy,Internet Safety,medium,5,0,5,0.0,1,18,1.18,19.47,18.29,weak,1,remedial,M0062,2026-03-17
U00194,English,Grammar,easy,15,14,1,93.33,2,43,87.75,89.98,2.23,mastered,0,continue,M0034,2026-03-08
U00195,Business,Financial Literacy,medium,5,3,2,60.0,2,48,57.52,68.23,10.71,partial,0,review,M0079,2026-01-14
U00196,Programming,Functions,medium,15,6,9,40.0,1,54,44.84,61.22,16.38,weak,1,remedial,M0027,2026-04-11
U00197,Science,Force and Motion,medium,10,9,1,90.0,2,63,83.38,86.4,3.02,mastered,0,continue,M0050,2026-05-25
U00198,Programming,Variables,medium,15,13,2,86.67,1,56,84.95,88.18,3.23,mastered,0,continue,M0016,2026-02-06
U00199,Digital Literacy,Online Collaboration,easy,5,1,4,20.0,1,24,21.19,44.07,22.88,weak,1,remedial,M0071,2026-05-03
U00200,Science,Ecosystem,hard,5,2,3,40.0,1,26,40.55,74.57,34.02,weak,1,remedial,M0055,2026-04-28
U00201,English,Grammar,easy,5,4,1,80.0,5,55,84.68,87.9,3.22,mastered,0,continue,M0035,2026-05-17
U00202,Science,Cells,easy,5,2,3,40.0,1,40,33.15,61.54,28.39,weak,1,remedial,M0047,2026-01-05
U00203,Science,Matter,easy,10,0,10,0.0,3,42,0,27.1,27.1,weak,1,remedial,M0060,2026-02-05
U00204,English,Grammar,medium,10,8,2,80.0,1,28,74.87,75.32,0.45,mastered,0,continue,M0036,2026-03-14
U00205,Science,Ecosystem,medium,10,3,7,30.0,5,76,35.8,70.47,34.67,weak,1,remedial,M0057,2026-02-26
U00206,Science,Force and Motion,easy,10,5,5,50.0,1,28,50.6,64.55,13.95,weak,1,remedial,M0049,2026-05-05
U00207,Digital Literacy,Internet Safety,easy,10,10,0,100.0,4,63,99.28,100,0.72,mastered,0,continue,M0061,2026-04-28
U00208,Business,Financial Literacy,medium,15,9,6,60.0,3,69,56.47,68.23,11.76,partial,0,review,M0081,2026-03-05
U00209,Programming,Loops,medium,10,10,0,100.0,1,36,94.12,95.6,1.48,mastered,0,continue,M0024,2026-01-24
U00210,Mathematics,Statistics,medium,10,8,2,80.0,1,14,76.32,81.05,4.73,mastered,0,continue,M0012,2026-05-28
U00211,Programming,Variables,medium,15,10,5,66.67,2,44,64.19,73.02,8.83,partial,0,review,M0018,2026-02-01
U00212,Science,Matter,medium,15,11,4,73.33,1,42,76.25,90.43,14.18,partial,0,review,M0059,2026-03-30
U00213,Science,Ecosystem,medium,5,2,3,40.0,1,50,34.75,51.25,16.5,weak,1,remedial,M0056,2026-04-06
U00214,English,Vocabulary,easy,15,15,0,100.0,1,44,96.82,100,3.18,mastered,0,continue,M0032,2026-05-08
U00215,Programming,Functions,hard,10,0,10,0.0,1,38,0,31.02,31.02,weak,1,remedial,M0026,2026-04-02
U00216,Mathematics,Geometry,easy,10,10,0,100.0,4,46,97.91,99.77,1.86,mastered,0,continue,M0008,2026-03-30
U00217,English,Reading Comprehension,hard,5,1,4,20.0,3,54,16.85,51.56,34.71,weak,1,remedial,M0039,2026-03-27
U00218,Mathematics,Linear Equations,medium,5,1,4,20.0,2,41,25.16,42.71,17.55,weak,1,remedial,M0015,2026-03-19
U00219,Science,Matter,medium,10,4,6,40.0,2,26,42.05,63.95,21.9,weak,1,remedial,M0060,2026-01-31
